calling_component_name,calling_component_type,app_name,app_owner_name,called_component_name,called_component_type
AATR,TRANSACTION,Omega Reissues,"Hutto, Amy",POCO4550,COBOL
ACDO,TRANSACTION,Conversions (Cycle J IV - TracJ),"Hutto, Amy",JRCO1346,COBOL
AGSA,TRANSACTION,Actuarial,"Hutto, Amy",AP102S1,COBOL
AGSC,TRANSACTION,Actuarial,"Hutto, Amy",AP102S1,COBOL
AGSN,TRANSACTION,Actuarial,"Hutto, Amy",AP102S1,COBOL
AGSO,TRANSACTION,Actuarial,"Hutto, Amy",AP102S1,COBOL
AGSR,TRANSACTION,Actuarial,"Hutto, Amy",AP102S1,COBOL
AGS1,TRANSACTION,Actuarial,"Hutto, Amy",AP102S1,COBOL
AG03,TRANSACTION,Actuarial,"Hutto, Amy",AP10300,COBOL
AG12,TRANSACTION,Actuarial,"Hutto, Amy",AP10300,COBOL
AG13,TRANSACTION,Actuarial,"Hutto, Amy",AP10300,COBOL
AG14,TRANSACTION,Actuarial,"Hutto, Amy",AP10300,COBOL
AHST,TRANSACTION,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",PCCO0001,COBOL
AMAN,TRANSACTION,Life 70 - Underwriting,"Hutto, Amy",NPCO2000,COBOL
BEED,TRANSACTION,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",PCSLCDEL,COBOL
BLIT,TRANSACTION,Omega Reissues,"Hutto, Amy",POCO9900,COBOL
BLN1,TRANSACTION,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",PCSLC200,COBOL
BLN2,TRANSACTION,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",PCSLC300,COBOL
BLN3,TRANSACTION,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",PCSLC400,COBOL
BLN5,TRANSACTION,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",PCSLC600,COBOL
CCBM,TRANSACTION,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",PCCO0160,COBOL
CL02,TRANSACTION,Policy Remarks,"Hutto, Amy",CPCO0010,COBOL
CL03,TRANSACTION,Policy Remarks,"Hutto, Amy",CPCO0020,COBOL
DEDD,TRANSACTION,Conversions (Cycle J IV - TracJ),"Hutto, Amy",JRCO4544,COBOL
DEDO,TRANSACTION,Conversions (Cycle J IV - TracJ),"Hutto, Amy",JRCO4546,COBOL
DETE,TRANSACTION,Life 70 - Underwriting,"Hutto, Amy",NP14208B,COBOL
EDPI,TRANSACTION,Actuarial,"Hutto, Amy",AVCO0100,COBOL
